review_id,stars,text
R874,4,"Cheapest plan I have found, Flex 30 is excellent value. Excellent customer service. The Family Share plan saves our family a fortune."
R875,4,"Support sorted my problem in minutes, really friendly. Fine in town, no signal in the countryside."
R876,2,"Coverage map is a lie in Lowmere. Decent value, though the bill was confusing."
R877,1,My bill doubled and nobody could explain why.
R878,5,"Switching with the eSIM took two minutes. Support sorted my problem in minutes, really friendly."
R879,4,Never had a dropped call in 8 years. Fast 5G in Gullhaven.
R880,4,Excellent customer service. The app is simple and paying the bill is easy.
R881,5,Reliable signal even on the train. The Family Share plan saves our family a fortune.
R882,4,"Cheapest plan I have found, Unlimited Plus is excellent value. Excellent customer service."
R883,4,"Honest pricing, no surprise charges. Cheapest plan I have found, Family Share is excellent value."
R884,5,"Support sorted my problem in minutes, really friendly. Never had a dropped call in 8 years."
R885,3,Support is friendly but the hold times are long. Coverage is good but the app crashes sometimes.
R886,1,Calls drop constantly in Wrenfield. The app logs me out and won't let me pay my bill.
R887,5,"Honest pricing, no surprise charges. Reliable signal even on the train."
R888,5,"Great coverage everywhere in Cragwell. Honest pricing, no surprise charges."
R889,5,Never had a dropped call in 3 years. Reliable signal even on the train.
R890,4,"Support sorted my problem in minutes, really friendly. Never had a dropped call in 8 years. Excellent customer service."
R891,2,Waited 30 minutes on hold for support. eSIM activation failed three times. The app logs me out and won't let me pay my bill.
R892,1,"No signal at home in Brackenridge, ever. Coverage map is a lie in Port Ember."
R893,5,"Honest pricing, no surprise charges."
R894,2,My bill doubled and nobody could explain why. Coverage map is a lie in Tern Harbour.
R895,5,Never had a dropped call in 2 years.
R896,5,Great coverage everywhere in Brackenridge. Friendly staff in the Lowmere shop.
R897,2,"Dropped calls, dropped calls, dropped calls. Charged roaming fees I never used."
R898,5,Switching with the eSIM took two minutes. Excellent customer service.
R899,3,"Fine in town, no signal in the countryside. Good plan, average app."
R900,5,Great coverage everywhere in Saltmoor.
